weather,temperature,pollution,Facilities
,,,23319348
,,,36188
,,,21324775
,,,612955
,,,206916624
1.0,3.0,177.0,6678325167
,,,44903
,,,606564
,,,51460
,,,323036
,,,152388
,,,89142
,,,211982
,,,182434
,,,416826
,,,89512512
,,,1717685
,,,6386186
,,,83664
,,,531200
,,,204426510
1.0,3.0,177.0,335566842
,,,5696622
,,,30295
,,,3310372
,,,118604925
,,,625488
1.0,3.0,177.0,49639068
,,,246510
1.0,3.0,177.0,365532
,,,507628
,,,8586516
,,,8099140
,,,13685040
,,,5042665
1.0,3.0,177.0,1960857570
,,,18896859
,,,4405806
,,,535682
,,,47308008
,,,50879570
,,,830415
,,,73621
,,,380804
,,,64325
,,,613536
,,,160854
,,,259292
,,,482064
1.0,3.0,177.0,198674112
,,,1000980
,,,471191
,,,332000
,,,167577
,,,18834858
,,,37599
,,,36188
,,,20828850
,,,350260
,,,294568805
1.0,3.0,177.0,10149450654
,,,134709
,,,303282
,,,90055
,,,131472
,,,323036
,,,193556
,,,101592
,,,29880
,,,89142
,,,1907838
,,,833652
,,,81672000
,,,2061222
,,,3756580
,,,212480
,,,293716250
1.0,3.0,177.0,318864420
,,,5145336
,,,30295
,,,3310372
,,,108062265
,,,208496
1.0,3.0,177.0,55629990
,,,14442
,,,410850
,,,380721
,,,5569632
,,,2620310
1.0,3.0,177.0,10548885
,,,4347125
1.0,3.0,177.0,2191848645
,,,18435960
,,,3426738
,,,459156
1.0,3.0,177.0,50533554
,,,36138760
,,,664332
,,,380804
,,,128650
,,,204512
,,,80427
,,,259292
,,,262944
,,,153553984
,,,800784
,,,740443
,,,166000
,,,55859
1.0,3.0,177.0,11659674
,,,37599
,,,18094
,,,20332925
,,,87565
1.0,3.0,177.0,199732019
1.0,3.0,177.0,11896706313
,,,134709
,,,454923
,,,12865
,,,807590
,,,50796
,,,29880
,,,847928
,,,91217
,,,694710
,,,65990976
,,,4122444
,,,3380922
,,,743680
1.0,3.0,177.0,326612470
1.0,3.0,177.0,280904370
,,,3859002
,,,2037152
1.0,3.0,177.0,120362035
,,,625488
,,,56485836
,,,328680
,,,126907
,,,6497904
,,,4049570
,,,8268045
,,,4347125
1.0,3.0,177.0,2126828935
,,,18435960
,,,4161039
,,,382630
,,,33330642
,,,31859170
,,,1328664
,,,73621
,,,190402
,,,920304
,,,259292
,,,262944
1.0,3.0,177.0,106250624
,,,300294
,,,269252
,,,83000
,,,55859
,,,17041062
,,,51128
,,,54282
,,,22812550
,,,87565
,,,153750547
,,,229080
1.0,3.0,177.0,12123882957
,,,134709
,,,454923
,,,102920
,,,32868
,,,1130626
,,,50796
,,,267426
1.0,3.0,177.0,847928
,,,138942
,,,69257856
,,,687074
,,,3756580
,,,55776
,,,743680
1.0,3.0,177.0,346585175
,,,253573134
,,,3859002
,,,2801084
,,,86976945
,,,521240
,,,41936454
,,,164340
,,,4409292
,,,2858520
,,,7127625
,,,4521010
1.0,3.0,177.0,1793175160
,,,19818657
,,,3916272
,,,459156
,,,25266777
1.0,3.0,177.0,40893860
,,,498249
,,,285603
,,,64325
,,,204512
,,,160854
,,,194469
,,,131472
,,,85146048
,,,500490
,,,605817
,,,111718
1.0,3.0,177.0,12556572
,,,75198
1.0,3.0,177.0,23804400
,,,158061310
,,,57270
1.0,3.0,177.0,11322083037
,,,179612
,,,38595
,,,323036
,,,423964
,,,277884
,,,66644352
,,,2061222
,,,5071383
,,,424960
,,,316038685
,,,220168290
,,,2021382
,,,60590
,,,2037152
,,,74677175
,,,729736
,,,23963688
,,,410850
,,,126907
,,,2320680
,,,2620310
,,,6842520
,,,4173240
1.0,3.0,177.0,1483476015
,,,12444273
,,,6853476
,,,382630
,,,27954732
,,,36614270
,,,664332
,,,285603
,,,64325
,,,306768
,,,80427
,,,131472
,,,64041472
,,,300294
,,,942382
,,,55859
,,,15247266
,,,18094
,,,17853300
,,,87565
,,,114953680
,,,57270
1.0,3.0,177.0,11228539713
,,,179612
,,,303282
,,,12865
,,,323036
,,,29880
,,,178284
,,,91217
,,,416826
,,,65337600
,,,1717685
,,,3756580
,,,531200
,,,287841925
1.0,3.0,177.0,204984270
,,,2572668
,,,30295
,,,1782508
,,,70284400
,,,312744
,,,22679919
,,,246510
,,,253814
,,,4177224
,,,3334940
,,,5987205
,,,3477700
1.0,3.0,177.0,1189176275
,,,15209667
,,,2692437
,,,535682
,,,23654004
,,,32334680
,,,996498
,,,285603
,,,64325
,,,204512
,,,64823
,,,175296
,,,46575616
,,,200196
,,,134626
,,,17041062
1.0,3.0,177.0,16365525
,,,350260
1.0,3.0,177.0,137944416
,,,49219
1.0,3.0,177.0,10149450654
,,,179612
,,,454923
,,,48389
,,,152388
,,,89640
,,,416826
,,,54230208
,,,1030611
,,,4132238
,,,106240
,,,231448405
,,,177653034
,,,3491478
,,,1782508
1.0,3.0,177.0,74677175
,,,312744
,,,20968227
,,,410850
,,,243688
,,,126907
,,,1392408
,,,3334940
,,,7982940
,,,4521010
1.0,3.0,177.0,778525475
,,,13366071
,,,4161039
,,,382630
,,,16665321
1.0,3.0,177.0,32810190
,,,996498
,,,192975
,,,306768
1.0,3.0,177.0,160854
,,,64823
,,,43824
,,,55308544
,,,800784
,,,67313
,,,55859
,,,13005021
,,,16861450
,,,87565
,,,137944416
1.0,3.0,177.0,9464579889
,,,303282
,,,12865
,,,807590
,,,91217
,,,138942
,,,37895808
,,,3435370
,,,31125
,,,2629606
,,,637440
,,,165655965
,,,154877004
,,,2021382
1.0,3.0,206.0,1782508
,,,57106075
,,,312744
,,,19256535
,,,14442
,,,164340
,,,243688
,,,126907
,,,3713088
,,,2858520
1.0,3.0,206.0,7412730
,,,2260505
1.0,3.0,206.0,461982150
,,,11983374
,,,1713369
,,,382630
,,,16127730
,,,27579580
,,,664332
,,,95201
,,,128650
,,,241281
,,,324115
,,,262944
,,,38570432
,,,200196
,,,269252
,,,11211225
,,,10910350
,,,87565
,,,109205996
,,,98438
1.0,3.0,206.0,7673893401
,,,179612
,,,454923
,,,12865
,,,161518
,,,211982
,,,91217
,,,416826
,,,40509312
,,,1717685
,,,3944409
,,,424960
1.0,3.0,206.0,143333530
,,,154877004
,,,1470096
,,,1273220
,,,43049195
,,,104248
,,,8986383
,,,4177224
,,,2620310
,,,4276575
1.0,3.0,206.0,2956045
1.0,3.0,206.0,314832280
,,,8296182
,,,1223835
,,,306104
,,,15590139
,,,31859170
,,,1162581
,,,73621
,,,856809
,,,64325
,,,204512
,,,64823
,,,350592
,,,26198784
,,,100098
,,,201939
,,,7175184
,,,18094
,,,19837000
,,,262695
1.0,3.0,206.0,112079838
1.0,3.0,206.0,6294129372
,,,89806
,,,454923
,,,1130626
,,,145167
,,,211982
,,,31362048
,,,687074
,,,1878290
,,,106240
1.0,3.0,206.0,151557585
,,,211057878
,,,2205144
,,,60590
,,,763932
,,,45684860
,,,15405228
,,,82170
,,,121844
,,,126907
,,,2552748
,,,1905680
,,,3706365
,,,3129930
1.0,3.0,206.0,374718855
1.0,3.0,206.0,13826970
,,,2202903
1.0,3.0,206.0,765260
1.0,3.0,206.0,19890867
,,,23775500
,,,664332
,,,476005
,,,64325
,,,306768
,,,80427
,,,64823
,,,175296
,,,24743296
,,,300294
,,,134626
,,,124500
,,,167577
,,,8520531
,,,11902200
,,,525390
1.0,3.0,206.0,90526023
1.0,3.0,206.0,5288538639
,,,44903
,,,454923
,,,12865
,,,323036
,,,145167
,,,50796
,,,89142
,,,423964
,,,91217
,,,138942
1.0,3.0,206.0,36589056
,,,1374148
,,,31125
1.0,3.0,206.0,2629606
,,,424960
1.0,3.0,206.0,238497595
,,,145766592
,,,1653858
,,,763932
,,,37777865
,,,104248
,,,12837690
,,,3945156
,,,2858520
,,,3136155
,,,2260505
1.0,3.0,206.0,349053180
,,,7374384
,,,2937204
1.0,3.0,206.0,153052
,,,13439775
,,,20922440
,,,830415
,,,190402
,,,64325
,,,64823
,,,131472
,,,26198784
,,,400392
,,,134626
,,,41500
,,,6726735
1.0,3.0,206.0,10910350
,,,175130
,,,104895233
1.0,3.0,206.0,4687188699
,,,44903
,,,151641
,,,32868
,,,323036
,,,48389
,,,35282304
,,,343537
,,,2817435
,,,83664
,,,232623270
,,,163987416
,,,2021382
,,,1018576
,,,28113760
,,,104248
,,,13265613
,,,328680
,,,126907
,,,2320680
,,,714630
,,,3991470
,,,1912735
1.0,3.0,206.0,367874675
,,,10600677
,,,734301
,,,229578
,,,10751820
1.0,3.0,206.0,16642850
,,,1494747
,,,285603
,,,80427
,,,43824
,,,22560064
,,,200196
,,,83000
,,,8072082
,,,19341075
,,,175130
,,,93399865
1.0,3.0,206.0,3948864606
,,,303282
,,,138942
1.0,3.0,206.0,44429568
,,,2748296
,,,2066119
,,,27888
1.0,3.0,206.0,424960
,,,230273540
,,,153358602
,,,2572668
,,,1527864
,,,20206765
,,,16261074
,,,243688
,,,126907
,,,1624476
,,,1905680
,,,2851050
,,,1738850
,,,330231685
,,,4148091
,,,734301
,,,229578
,,,11289411
,,,15691830
,,,332166
,,,380804
,,,438240
,,,21832320
,,,100098
,,,41500
,,,55859
,,,4484490
,,,13389975
,,,71846050
,,,57270
1.0,3.0,206.0,3284038839
,,,44903
,,,151641
,,,12865
,,,50796
,,,847928
,,,138942
,,,41162688
,,,1374148
,,,1878290
,,,424960
,,,168005695
,,,107806542
,,,367524
,,,509288
,,,18449655
,,,8986383
,,,82170
,,,1856544
,,,476420
,,,3136155
,,,1217195
1.0,3.0,206.0,307988100
,,,7374384
,,,734301
,,,229578
,,,10751820
,,,14740810
,,,498249
,,,285603
,,,64325
,,,102256
,,,64823
,,,18921344
,,,200196
,,,111718
,,,5381388
,,,9422575
,,,70409129
,,,2415422259
,,,44903
,,,303282
,,,646072
,,,48389
,,,635946
,,,33322176
,,,751316
,,,318720
1.0,3.0,205.0,137459205
1.0,3.0,205.0,138174582
,,,2940192
,,,1527864
,,,35142200
,,,104248
,,,7274691
,,,126907
,,,5105496
,,,1905680
,,,2851050
,,,2260505
,,,287455560
,,,7374384
,,,1468602
,,,382630
,,,16665321
1.0,3.0,205.0,21873460
,,,761608
,,,102256
,,,18193600
,,,55859
,,,5829837
,,,18094
,,,9918500
,,,350260
,,,60350682
1.0,3.0,205.0,2295152271
,,,89806
,,,161518
,,,211982
,,,138942
,,,29401920
,,,343537
,,,1502632
,,,212480
1.0,3.0,205.0,197377320
,,,148803396
,,,1102572
,,,763932
,,,50956190
,,,208496
,,,4279230
1.0,3.0,205.0,5105496
,,,476420
,,,2851050
,,,521655
,,,280611380
,,,9217980
,,,1468602
,,,13439775
,,,15216320
,,,830415
,,,190402
,,,64325
,,,102256
,,,131472
,,,13099392
,,,200196
,,,55859
,,,7175184
,,,8926650
,,,175130
,,,68972208
1.0,3.0,205.0,1931001474
,,,44903
,,,303282
,,,423964
,,,23521536
,,,1878290
,,,106240
,,,196202455
,,,170061024
,,,1470096
,,,254644
1.0,3.0,205.0,26356650
,,,104248
,,,4707153
,,,164340
,,,1624476
,,,238210
,,,1425525
,,,1217195
,,,212169580
,,,9217980
,,,1468602
,,,76526
,,,10214229
,,,6657140
,,,73621
,,,285603
,,,64325
,,,80427
,,,64823
,,,87648
,,,18921344
,,,200196
,,,2690694
,,,18094
,,,10414425
,,,175130
,,,56039919
1.0,3.0,205.0,1556828178
,,,89806
,,,303282
,,,96778
,,,89142
,,,211982
,,,91217
,,,694710
,,,24174912
,,,343537
,,,939145
,,,111552
,,,212480
,,,152732450
,,,115398552
,,,2388906
,,,25478095
,,,104248
,,,3851307
,,,164340
,,,2320680
,,,1667470
,,,855315
,,,2260505
1.0,3.0,205.0,148860915
,,,5530788
,,,1958136
,,,12364593
,,,8083670
,,,996498
,,,147242
,,,64823
,,,24015552
,,,200196
,,,55859
,,,2690694
,,,54282
,,,7934800
,,,87565
,,,50292235
,,,1099134057
,,,32868
,,,138942
,,,15027648
,,,1030611
,,,751316
,,,318720
1.0,3.0,205.0,177404615
,,,92622522
,,,1470096
,,,763932
1.0,3.0,205.0,26356650
,,,312744
,,,2139615
,,,246510
,,,3945156
,,,952840
,,,1140420
,,,1217195
,,,107795835
,,,5069889
,,,979068
,,,153052
1.0,3.0,205.0,15052548
,,,9034690
,,,332166
,,,73621
,,,80427
,,,64823
,,,262944
,,,18921344
,,,100098
,,,83000
,,,5381388
1.0,3.0,205.0,8926650
,,,262695
,,,47418393
,,,968841570
,,,96778
,,,50796
,,,18947904
,,,375658
,,,212480
,,,136284340
,,,92622522
,,,551286
,,,1782508
,,,14935435
,,,104248
,,,4279230
,,,365532
,,,253814
,,,1160340
,,,714630
,,,855315
,,,1564965
,,,138594645
,,,4608990
,,,1223835
,,,76526
,,,3225546
,,,6181630
,,,166083
,,,190402
,,,321708
,,,129646
,,,87648
,,,12371648
,,,300294
,,,67313
,,,41500
,,,2242245
,,,6447025
,,,175130
,,,31612262
,,,598009107
,,,323036
,,,423964
1.0,3.0,195.0,16334400
,,,1502632
,,,424960
,,,135109475
,,,75920100
,,,1286334
,,,509288
,,,12299770
,,,4707153
,,,121844
,,,2320680
,,,952840
,,,1425525
,,,695540
,,,128328375
,,,12905172
,,,1958136
,,,153052
,,,5913501
,,,14265300
,,,332166
,,,190402
,,,64325
,,,80427
,,,12371648
,,,100098
,,,4484490
,,,5951100
,,,175130
,,,25864578
,,,638099103
,,,606564
,,,161518
,,,356568
,,,138942
,,,9800640
,,,187829
,,,133934610
,,,78956904
,,,3123954
,,,254644
,,,14935435
,,,3851307
,,,1624476
,,,476420
,,,1140420
,,,347770
,,,145438825
,,,8296182
,,,734301
,,,5375910
,,,4755100
,,,498249
,,,64325
,,,80427
1.0,3.0,195.0,64823
,,,43824
,,,16738112
,,,100098
,,,4932939
1.0,3.0,195.0,8430725
,,,38796867
,,,57270
,,,618054105
,,,179612
,,,161518
,,,48389
,,,182434
,,,13720896
,,,343537
,,,375658
,,,106240
,,,151557585
,,,57699276
,,,1653858
,,,509288
,,,27235205
,,,2567538
,,,126907
,,,2088612
,,,1667470
,,,285105
,,,1043310
1.0,3.0,195.0,153994050
,,,8296182
,,,244767
,,,76526
,,,6988683
,,,10936730
,,,8732928
,,,300294
,,,4036041
,,,3471475
,,,175130
,,,24427657
,,,577964109
,,,96778
,,,15027648
,,,563487
,,,212480
1.0,3.0,195.0,133934610
,,,106288140
,,,1653858
,,,509288
,,,15813990
,,,3851307
,,,164340
,,,1160340
,,,238210
,,,570210
,,,869425
,,,155705095
,,,2765394
,,,1468602
,,,76526
,,,4838319
,,,14265300
,,,498249
,,,102256
,,,129646
,,,9460672
,,,200196
,,,6278286
,,,18094
,,,5455175
,,,25864578
,,,57270
,,,611372439
,,,8493888
,,,343537
,,,375658
,,,212480
1.0,3.0,195.0,86940010
,,,75920100
,,,367524
,,,254644
,,,18449655
,,,3851307
,,,121844
,,,464136
,,,714630
,,,1710630
,,,521655
,,,112928970
,,,4608990
1.0,3.0,195.0,489534
,,,3763137
,,,12363260
,,,332166
,,,14554880
,,,100098
,,,3587592
,,,8430725
,,,175130
,,,24427657
,,,624735771
,,,179612
,,,138942
,,,10454016
,,,375658
,,,212480
,,,71666765
,,,47070462
,,,183762
,,,10542660
,,,104248
,,,7702614
,,,928272
,,,714630
,,,1140420
,,,1912735
,,,148860915
,,,921798
,,,244767
,,,153052
,,,4838319
,,,15216320
,,,13827136
,,,5381388
,,,5951100
,,,87565
,,,31612262
,,,628076604
,,,277884
,,,13067520
,,,343537
,,,751316
,,,212480
,,,90464605
,,,80475306
,,,918810
,,,18449655
,,,104248
,,,5135076
,,,164340
,,,126907
,,,2320680
,,,238210
,,,570210
,,,695540
,,,99240610
,,,1843596
,,,489534
,,,11827002
,,,11887750
,,,166083
,,,175296
,,,9460672
,,,41500
,,,6726735
,,,51128
,,,5455175
,,,87565
,,,53166077
,,,531192447
,,,211982
,,,138942
,,,23521536
,,,343537
,,,375658
,,,318720
,,,83415415
1.0,3.0,184.0,68328090
,,,735048
,,,1018576
,,,10542660
,,,208496
,,,3851307
,,,2784816
,,,714630
,,,855315
1.0,3.0,184.0,131750465
,,,4148091
,,,10214229
,,,10936730
,,,166083
,,,80427
,,,64823
,,,219120
,,,8732928
,,,100098
,,,2690694
,,,409024
,,,3471475
,,,175130
,,,38796867
,,,57270
1.0,3.0,184.0,577964109
,,,12865
,,,423964
,,,138942
,,,17641152
,,,1502632
,,,424960
,,,74016495
,,,54662472
,,,367524
,,,30295
,,,254644
,,,25478095
,,,104248
,,,4279230
,,,82170
,,,1856544
,,,3573150
,,,521655
1.0,3.0,184.0,147149870
,,,7835283
,,,489534
,,,153052
,,,537591
,,,13789790
,,,166083
,,,102256
,,,43824
,,,10188416
,,,100098
,,,3587592
,,,51128
,,,6942950
,,,262695
1.0,3.0,184.0,81904497
1.0,3.0,184.0,608031606
,,,13720896
,,,343537
,,,2253948
,,,318720
,,,97513795
,,,78956904
,,,183762
,,,14056880
,,,2995461
,,,246510
,,,126907
,,,3248952
,,,5478830
,,,285105
,,,173885
,,,148860915
,,,8296182
,,,979068
,,,229578
,,,1612773
,,,7132650
,,,204512
,,,87648
,,,21104576
,,,400392
,,,335154
,,,1793796
,,,7438875
,,,71846050
,,,584645775
,,,12865
,,,161518
,,,211982
,,,32668800
,,,687074
,,,2817435
,,,1062400
,,,116311635
1.0,2.0,184.0,115398552
,,,735048
,,,30295
,,,254644
,,,11421215
,,,312744
,,,4279230
,,,126907
,,,1392408
,,,2620310
,,,2280840
,,,869425
,,,145438825
,,,14287869
,,,244767
,,,535682
,,,3763137
,,,7132650
,,,332166
,,,128650
,,,306768
,,,80427
,,,129646
,,,131472
,,,26198784
,,,300294
,,,279295
,,,2690694
,,,11406275
,,,43107630
,,,49219
1.0,2.0,184.0,584645775
,,,44903
,,,151641
,,,423964
,,,35935680
,,,687074
,,,2629606
,,,27888
,,,212480
,,,115136770
1.0,2.0,184.0,106288140
,,,1470096
,,,90885
,,,1018576
,,,19328210
,,,6418845
,,,4641360
,,,3573150
,,,3421260
,,,521655
1.0,2.0,184.0,159127185
,,,12444273
,,,489534
,,,306104
,,,2150364
,,,18544890
,,,664332
,,,95201
,,,128650
,,,160854
,,,64823
,,,175296
,,,37842688
,,,500490
,,,207500
,,,55859
,,,7175184
,,,13389975
,,,262695
1.0,2.0,184.0,74719892
1.0,2.0,184.0,721619928
,,,32868
,,,211982
1.0,2.0,184.0,75791616
,,,4883554
,,,531200
,,,179754345
,,,142729788
,,,918810
,,,60590
,,,1018576
,,,29870870
,,,312744
,,,15405228
,,,1392408
,,,2620310
,,,3991470
,,,347770
,,,155705095
,,,9678879
,,,734301
,,,76526
,,,2687955
,,,14265300
,,,664332
,,,95201
,,,129646
,,,175296
,,,30565248
,,,200196
,,,83000
,,,167577
,,,9417429
,,,17357375
,,,262695
,,,44544551
,,,714938262
,,,32868
,,,136555584
,,,1878290
,,,849920
1.0,2.0,184.0,153907315
,,,185245044
,,,735048
,,,121180
,,,1273220
1.0,2.0,184.0,20206765
,,,208496
,,,11981844
,,,126907
,,,696204
,,,4525990
,,,7697835
,,,172815545
,,,11522475
,,,244767
,,,688734
,,,18069380
,,,1328664
,,,285603
,,,204512
,,,241281
,,,64823
,,,262944
,,,50214336
,,,1000980
,,,83000
,,,11659674
,,,29755500
,,,262695
1.0,2.0,184.0,45981472
1.0,2.0,184.0,781754922
,,,44903
,,,295812
,,,89142
,,,2988
,,,91217
,,,141782592
,,,2817435
,,,849920
,,,132759745
1.0,2.0,184.0,217131486
,,,1653858
,,,30295
,,,1273220
1.0,2.0,184.0,22842430
,,,16261074
,,,82170
,,,121844
,,,2320680
,,,3096730
,,,8268045
,,,347770
,,,200192265
,,,12444273
,,,734301
,,,841786
,,,2687955
,,,25677540
,,,1660830
,,,190402
,,,204512
,,,80427
,,,64823
,,,701184
1.0,2.0,184.0,52397568
,,,1101078
,,,55859
,,,17937960
,,,51128
1.0,2.0,184.0,30251425
,,,175130
,,,44544551
,,,49219
1.0,2.0,184.0,805140753
,,,179612
,,,303282
,,,131472
,,,161518
,,,48389
,,,138942
1.0,2.0,184.0,141129216
,,,2066119
,,,1062400
,,,210300835
,,,253573134
,,,3307716
,,,212065
,,,509288
1.0,2.0,184.0,21963875
,,,833984
,,,17116920
,,,253814
,,,3713088
,,,9290190
,,,7697835
,,,1217195
,,,229280030
,,,15209667
,,,1958136
,,,1453994
,,,9139047
,,,21873460
,,,2159079
,,,95201
,,,204512
,,,80427
,,,129646
,,,482064
,,,62585984
,,,700686
,,,67313
,,,41500
,,,55859
,,,17489511
1.0,2.0,184.0,49592500
,,,68972208
,,,98438
,,,57270
,,,925410741
,,,44903
,,,303282
,,,12865
,,,32868
,,,161518
,,,48389
,,,29880
,,,211982
,,,182434
,,,416826
,,,177064896
,,,1030611
,,,4883554
,,,424960
,,,164481100
1.0,2.0,184.0,264201948
,,,2756430
,,,763932
,,,26356650
,,,312744
1.0,2.0,184.0,8558460
,,,243688
,,,126907
,,,6033768
,,,10481240
,,,6557415
,,,1217195
,,,302854965
,,,14748768
,,,2692437
,,,1377468
1.0,2.0,184.0,5913501
,,,34236720
,,,1494747
,,,190402
,,,306768
,,,583407
,,,1007952
,,,70591168
,,,300294
,,,41500
,,,111718
,,,13453470
,,,51128
,,,54282
1.0,2.0,184.0,64470250
,,,262695
,,,57476840
,,,57270
,,,778414089
,,,89806
,,,25730
,,,65736
,,,161518
,,,48389
,,,50796
,,,211982
,,,138942
,,,149623104
,,,687074
,,,2441777
,,,27888
,,,637440
,,,145683260
,,,340122048
,,,1837620
,,,30295
,,,2037152
,,,41292085
,,,312744
,,,16688997
,,,164340
,,,121844
,,,126907
,,,6033768
1.0,2.0,181.0,15007230
,,,6842520
,,,1043310
,,,256656750
,,,21662253
,,,3181971
,,,994838
,,,5375910
,,,45173450
,,,996498
,,,294484
,,,95201
,,,64325
,,,204512
,,,80427
,,,648230
,,,1533840
,,,86601536
,,,300294
,,,111718
,,,9417429
,,,51128
1.0,2.0,181.0,84803175
,,,87565
,,,56039919
,,,49219
,,,57270
1.0,2.0,181.0,728301594
,,,35192
,,,224515
,,,65736
,,,484554
,,,145167
,,,29880
,,,182434
,,,138942
,,,83632128
,,,31125
,,,1690461
,,,27888
,,,956160
,,,102213255
,,,390229314
,,,2388906
,,,30295
,,,1527864
,,,22842430
,,,521240
,,,18828612
,,,493020
,,,243688
,,,253814
,,,3945156
,,,12386920
,,,8838255
,,,1738850
,,,244679435
,,,25349445
,,,1958136
,,,1147890
,,,5375910
,,,24726520
,,,2823411
,,,220863
,,,190402
,,,257300
,,,64823
1.0,2.0,181.0,2059728
1.0,2.0,181.0,88057024
,,,1000980
,,,41500
,,,55859
,,,9417429
,,,102256
1.0,2.0,181.0,75876525
,,,350260
1.0,2.0,181.0,87652181
,,,49219
,,,57270
1.0,2.0,181.0,755028258
,,,314321
,,,323036
,,,48389
,,,59760
,,,555768
,,,92126016
,,,343537
,,,1690461
,,,1381120
1.0,2.0,181.0,142158665
1.0,2.0,181.0,422115756
,,,1470096
,,,3819660
,,,25478095
,,,416992
,,,22679919
,,,657360
,,,243688
,,,761442
,,,3248952
,,,12148710
,,,13970145
,,,1217195
,,,318254370
,,,45629001
,,,1468602
,,,1760098
1.0,2.0,181.0,8601456
,,,31859170
,,,1992996
,,,666407
,,,64325
,,,204512
,,,160854
,,,324115
,,,1051776
,,,100428672
,,,400392
,,,41500
,,,111718
,,,16592613
,,,75198
,,,54282
,,,84307250
,,,262695
,,,93399865
,,,49219
,,,771732423
,,,17596
,,,151641
,,,32868
,,,484554
,,,59760
,,,91217
,,,277884
,,,58803840
,,,1717685
,,,62250
,,,6010528
,,,111552
,,,1806080
,,,142158665
,,,416042148
,,,2388906
,,,90885
,,,2546440
,,,26356650
,,,1250976
1.0,2.0,181.0,28242918
,,,410850
,,,243688
,,,380721
,,,3713088
,,,8575560
,,,12829725
,,,2956045
1.0,2.0,181.0,371296765
1.0,2.0,181.0,38715516
,,,3426738
,,,2219254
,,,15052548
,,,35187740
,,,3155577
,,,294484
,,,571206
,,,128650
,,,204512
,,,321708
,,,713053
,,,701184
,,,137543616
,,,1101078
,,,335154
,,,15695715
,,,36188
,,,80339850
,,,700520
,,,61787603
,,,49219
,,,831867417
,,,17596
,,,89806
,,,303282
,,,65736
,,,969108
,,,48389
,,,101592
,,,59760
,,,89142
,,,423964
,,,138942
,,,61417344
,,,3091833
,,,93375
,,,6198357
,,,743680
,,,133934610
,,,540551112
,,,2205144
,,,30295
,,,3055728
,,,28113760
,,,625488
,,,35089686
,,,14442
,,,246510
,,,634535
,,,3481020
,,,15721860
,,,13399935
,,,1564965
1.0,2.0,181.0,343920045
,,,40559112
,,,2937204
,,,3214092
,,,11827002
,,,35187740
,,,3321660
,,,220863
,,,285603
,,,128650
,,,1022560
,,,643416
,,,453761
,,,876480
1.0,2.0,181.0,116439040
,,,500490
,,,166000
,,,391013
,,,15695715
,,,102256
,,,75198
,,,36188
,,,84307250
,,,875650
,,,155187468
,,,98438
,,,57270
1.0,2.0,181.0,778414089
,,,17596
,,,269418
1.0,2.0,181.0,303282
,,,361548
,,,969108
,,,145167
,,,253980
,,,29880
,,,178284
,,,211982
,,,364868
,,,138942
,,,73831488
,,,2404759
,,,186750
,,,6386186
,,,83664
,,,2018560
,,,110437310
8.0,2.0,181.0,520811886
,,,7350480
,,,30295
,,,4583592
,,,50956190
,,,833984
,,,31666302
,,,575190
,,,243688
,,,1015256
,,,6962040
,,,13577970
,,,17106300
,,,2782160
